App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Installs_num,Price_num,Size_MB,Primary_Genre
7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-06-08,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Workout Tracker & Gym Trainer - Fitness Log Book,HEALTH_AND_FITNESS,4.6,5420,21M,"500,000+",Free,0,Everyone,Health & Fitness,2018-06-05,2.48.3,4.1 and up,500000.0,0.0,21.0,Health & Fitness
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-08-03,5.3,5.0 and up,10000000.0,0.0,25.0,Health & Fitness
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93M,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-07-18,5.14.0,5.0 and up,10000000.0,0.0,93.0,Health & Fitness
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-16,4.4,4.4 and up,1000000.0,0.0,60.0,Health & Fitness
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27M,"5,000,000+",Free,0,Teen,Health & Fitness,2018-04-07,10.0,4.0.3 and up,5000000.0,0.0,27.0,Health & Fitness
Map My Ride GPS Cycling Riding,HEALTH_AND_FITNESS,4.5,106547,54M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-27,18.7.1,5.0 and up,1000000.0,0.0,54.0,Health & Fitness
Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-06-14,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-07-24,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,109756,78M,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-08-01,8.2.0,4.0.3 and up,5000000.0,0.0,78.0,Health & Fitness
Map My Fitness Workout Trainer,HEALTH_AND_FITNESS,4.4,38343,55M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-27,18.7.1,5.0 and up,1000000.0,0.0,55.0,Health & Fitness
Sports Tracker Running Cycling,HEALTH_AND_FITNESS,4.5,190247,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-08-03,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-08-03,7.2.5,Varies with device,1000000.0,0.0,,Health & Fitness
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-24,6.2.73,4.0 and up,5000000.0,0.0,35.0,Health & Fitness
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,"100,000+",Paid,$2.99,Everyone,Health & Fitness,2015-12-22,Varies with device,Varies with device,100000.0,2.99,,Health & Fitness
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43M,"1,000,000+",Free,0,Everyone,Health & Fitness,2017-02-09,2.5.1,4.0.3 and up,1000000.0,0.0,43.0,Health & Fitness
Free Meditation - Take a Break,HEALTH_AND_FITNESS,4.2,1608,39M,"100,000+",Free,0,Everyone,Health & Fitness,2016-07-28,6.7,2.3.3 and up,100000.0,0.0,39.0,Health & Fitness
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-01-17,16.0,4.0 and up,1000000.0,0.0,4.2,Health & Fitness
Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976,44M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-09,7.0,4.0.3 and up,500000.0,0.0,44.0,Health & Fitness
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45M,"500,000+",Free,0,Everyone,Health & Fitness,2018-04-10,1.0.6,2.3.3 and up,500000.0,0.0,45.0,Health & Fitness
Relax with Andrew Johnson Lite,HEALTH_AND_FITNESS,4.3,2885,Varies with device,"100,000+",Free,0,Everyone,Health & Fitness,2012-06-19,Varies with device,Varies with device,100000.0,0.0,,Health & Fitness
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-03-05,3.1.9,4.0.3 and up,1000000.0,0.0,28.0,Health & Fitness
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29M,"10,000+",Paid,$3.99,Everyone,Health & Fitness,2018-05-15,1.0.6,4.3 and up,10000.0,3.99,29.0,Health & Fitness
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12M,"500,000+",Free,0,Teen,Health & Fitness,2018-05-17,2.6.1,4.2 and up,500000.0,0.0,12.0,Health & Fitness
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0,Everyone,Health & Fitness,2018-08-02,3.0.0,4.1 and up,100000.0,0.0,15.0,Health & Fitness
My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31M,"100,000+",Free,0,Everyone,Health & Fitness,2018-04-10,2.0.4,2.3.3 and up,100000.0,0.0,31.0,Health & Fitness
Simply Yoga - Fitness Trainer for Workouts & Poses,HEALTH_AND_FITNESS,4.1,6826,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-06-14,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111450,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-08-05,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
Relax Melodies P: Sleep Sounds,HEALTH_AND_FITNESS,4.8,19543,Varies with device,"100,000+",Paid,$2.99,Everyone,Health & Fitness,2018-01-19,Varies with device,Varies with device,100000.0,2.99,,Health & Fitness
Relax Melodies: Sleep Sounds,HEALTH_AND_FITNESS,4.5,233243,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-23,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-27,1.29.15,4.4 and up,500000.0,0.0,20.0,Health & Fitness
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-07-23,3.6.4,4.2 and up,10000000.0,0.0,39.0,Health & Fitness
Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,4.3,5499,94M,"100,000+",Free,0,Everyone,Health & Fitness,2018-07-23,2.0.16,4.1 and up,100000.0,0.0,94.0,Health & Fitness
Pregnancy & Baby Tracker,HEALTH_AND_FITNESS,4.6,48286,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-27,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
My Cycles Period and Ovulation,HEALTH_AND_FITNESS,4.3,26652,41M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-05-04,2.3.3,4.0.3 and up,1000000.0,0.0,41.0,Health & Fitness
I’m Expecting - Pregnancy App,HEALTH_AND_FITNESS,4.6,71269,49M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-03-30,2.3.2,4.0.3 and up,1000000.0,0.0,49.0,Health & Fitness
The Bump Pregnancy Tracker,HEALTH_AND_FITNESS,4.6,20301,22M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-05-16,3.22,4.3 and up,1000000.0,0.0,22.0,Health & Fitness
My Days - Ovulation Calendar & Period Tracker ™,HEALTH_AND_FITNESS,4.5,93691,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-05,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-08-01,7.3.4-play,5.0 and up,1000000.0,0.0,23.0,Health & Fitness
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28M,"1,000,000+",Free,0,Teen,Health & Fitness,2018-08-04,2.9.18,4.1 and up,1000000.0,0.0,28.0,Health & Fitness
Fertility Friend Ovulation App,HEALTH_AND_FITNESS,4.5,12955,7.2M,"1,000,000+",Free,0,Teen,Health & Fitness,2018-06-27,10.24,4.4 and up,1000000.0,0.0,7.2,Health & Fitness
Pregnancy Tracker,HEALTH_AND_FITNESS,4.1,2681,6.5M,"500,000+",Free,0,Everyone,Health & Fitness,2018-02-10,37,4.0.3 and up,500000.0,0.0,6.5,Health & Fitness
Period Tracker,HEALTH_AND_FITNESS,4.5,325738,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-07-28,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
"Spot On Period, Birth Control, & Cycle Tracker",HEALTH_AND_FITNESS,4.6,4102,24M,"500,000+",Free,0,Everyone 10+,Health & Fitness,2018-07-19,2.6.1,4.2 and up,500000.0,0.0,24.0,Health & Fitness
OvuView: Ovulation and Fertility,HEALTH_AND_FITNESS,4.5,40296,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-06-15,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Period Tracker - Period Calendar Ovulation Tracker,HEALTH_AND_FITNESS,4.8,4559407,Varies with device,"100,000,000+",Free,0,Everyone,Health & Fitness,2018-08-01,Varies with device,Varies with device,100000000.0,0.0,,Health & Fitness
Period Tracker Clue: Period and Ovulation Tracker,HEALTH_AND_FITNESS,4.8,570242,20M,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-08-02,5.0.2,4.1 and up,10000000.0,0.0,20.0,Health & Fitness
WomanLog Calendar,HEALTH_AND_FITNESS,4.5,121838,15M,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-05-23,5.5.1,4.0.3 and up,5000000.0,0.0,15.0,Health & Fitness
Geocaching®,HEALTH_AND_FITNESS,4.1,62616,Varies with device,"5,000,000+",Free,0,Teen,Health & Fitness,2018-08-02,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
Map My Hike GPS Hiking,HEALTH_AND_FITNESS,4.4,12858,55M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-27,18.7.1,5.0 and up,500000.0,0.0,55.0,Health & Fitness
"ViewRanger - Hike, Ride or Walk",HEALTH_AND_FITNESS,4.2,34356,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-31,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Runtastic Mountain Bike GPS Tracker,HEALTH_AND_FITNESS,4.5,50679,38M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-08-01,3.6.2,4.4 and up,1000000.0,0.0,38.0,Health & Fitness
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-30,8.8.14,4.4 and up,1000000.0,0.0,32.0,Health & Fitness
Water Drink Reminder,HEALTH_AND_FITNESS,4.6,524299,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-06-29,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
"Zombies, Run! 5k Training (Free)",HEALTH_AND_FITNESS,4.0,267,Varies with device,"50,000+",Free,0,Teen,Health & Fitness,2018-08-01,Varies with device,Varies with device,50000.0,0.0,,Health & Fitness
Tracks,HEALTH_AND_FITNESS,4.6,623,40M,"50,000+",Free,0,Everyone 10+,Health & Fitness,2017-07-17,1.2.3,4.0.3 and up,50000.0,0.0,40.0,Health & Fitness
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",HEALTH_AND_FITNESS,4.6,117176,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-07,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
"Technutri - calorie counter, diet and carb tracker",HEALTH_AND_FITNESS,4.4,70416,23M,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-27,3.19.4,4.1 and up,5000000.0,0.0,23.0,Health & Fitness
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-31,4.5.4,4.1 and up,1000000.0,0.0,6.1,Health & Fitness
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-08-03,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
My Diet Coach - Weight Loss Motivation & Tracker,HEALTH_AND_FITNESS,4.4,141163,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-06-11,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Lose It! - Calorie Counter,HEALTH_AND_FITNESS,4.4,69395,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-08-03,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-16,6.5.1,5.0 and up,1000000.0,0.0,19.0,Health & Fitness
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,2017-02-17,1.9,2.3.3 and up,500000.0,0.0,3.8,Health & Fitness
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094,18M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-09,3.3.0(1),4.1 and up,1000000.0,0.0,18.0,Health & Fitness
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-30,1.11.4,4.0.3 and up,1000000.0,0.0,57.0,Health & Fitness
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0,Everyone,Health & Fitness,2016-08-27,2.3.4,5.0 and up,100000.0,0.0,5.5,Health & Fitness
Calorie Counter by FatSecret,HEALTH_AND_FITNESS,4.4,229210,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,2018-07-31,Varies with device,Varies with device,10000000.0,0.0,,Health & Fitness
Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547,5.7M,"1,000,000+",Free,0,Everyone,Health & Fitness,2017-11-29,3.2.7,4.1 and up,1000000.0,0.0,5.7,Health & Fitness
Lark - 24/7 Health Coach,HEALTH_AND_FITNESS,4.1,3405,51M,"100,000+",Free,0,Everyone,Health & Fitness,2018-07-25,4.5.1.123,4.4 and up,100000.0,0.0,51.0,Health & Fitness
MealLogger-Photo Food Journal,HEALTH_AND_FITNESS,3.5,217,9.4M,"50,000+",Free,0,Teen,Health & Fitness,2017-08-23,4.6.2,4.0.3 and up,50000.0,0.0,9.4,Health & Fitness
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-15,3.3,4.0 and up,500000.0,0.0,3.3,Health & Fitness
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-03-22,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,2018-01-29,10.2.0,4.0 and up,100000.0,0.0,4.0,Health & Fitness
Monitor Your Weight,HEALTH_AND_FITNESS,4.5,126017,4.3M,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-05,4.9.8.1,4.0 and up,5000000.0,0.0,4.3,Health & Fitness
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,"100,000+",Free,0,Everyone,Health & Fitness,2014-07-23,1.0.9,2.3 and up,100000.0,0.0,3.6,Health & Fitness
Self Healing,HEALTH_AND_FITNESS,4.5,14394,9.9M,"500,000+",Free,0,Everyone,Health & Fitness,2017-07-16,Public.Heal,4.0.3 and up,500000.0,0.0,9.9,Health & Fitness
Happify,HEALTH_AND_FITNESS,3.7,1812,37M,"100,000+",Free,0,Everyone,Health & Fitness,2018-07-24,1.31.0-15160.950adac99,4.4 and up,100000.0,0.0,37.0,Health & Fitness
Binaural Beats Therapy,HEALTH_AND_FITNESS,4.3,13724,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2017-08-17,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Pacifica - Stress & Anxiety,HEALTH_AND_FITNESS,4.5,10253,Varies with device,"500,000+",Free,0,Teen,Health & Fitness,2018-07-09,6.3.1,Varies with device,500000.0,0.0,,Health & Fitness
Relaxing Sounds,HEALTH_AND_FITNESS,4.6,4642,40M,"100,000+",Free,0,Everyone,Health & Fitness,2017-03-11,1.92,4.1 and up,100000.0,0.0,40.0,Health & Fitness
White Sound Pro,HEALTH_AND_FITNESS,4.7,16570,73M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-29,4.8.0,4.4 and up,500000.0,0.0,73.0,Health & Fitness
Insight Timer - Free Meditation App,HEALTH_AND_FITNESS,4.6,20161,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-08-01,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Self-help Anxiety Management,HEALTH_AND_FITNESS,4.0,2894,23M,"500,000+",Free,0,Everyone 10+,Health & Fitness,2017-02-22,1.2.6,4.0.3 and up,500000.0,0.0,23.0,Health & Fitness
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10M,"500,000+",Free,0,Everyone,Health & Fitness,2018-07-15,5.2,4.4 and up,500000.0,0.0,10.0,Health & Fitness
Prana Breath: Calm & Meditate,HEALTH_AND_FITNESS,4.8,31665,8.4M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-19,8.2.0_8,4.0 and up,1000000.0,0.0,8.4,Health & Fitness
7 Cups: Anxiety & Stress Chat,HEALTH_AND_FITNESS,4.2,13799,Varies with device,"500,000+",Free,0,Teen,Health & Fitness,2018-07-31,Varies with device,Varies with device,500000.0,0.0,,Health & Fitness
Runtastic Sleep Better: Sleep Cycle & Smart Alarm,HEALTH_AND_FITNESS,4.1,111462,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,2018-07-25,Varies with device,Varies with device,5000000.0,0.0,,Health & Fitness
White Noise Lite,HEALTH_AND_FITNESS,4.4,57634,41M,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-06-25,7.4,4.1 and up,1000000.0,0.0,41.0,Health & Fitness
"Stop, Breathe & Think: Meditation & Mindfulness",HEALTH_AND_FITNESS,4.3,8576,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,2018-07-28,Varies with device,Varies with device,1000000.0,0.0,,Health & Fitness
Zillow: Find Houses for Sale & Apartments for Rent,HOUSE_AND_HOME,4.5,417907,34M,"10,000,000+",Free,0,Everyone,House & Home,2018-08-01,9.8.1.7425,4.4 and up,10000000.0,0.0,34.0,House & Home
"Viva Decora - Decoration, Photos, Architecture, House",HOUSE_AND_HOME,4.8,3167,7.5M,"100,000+",Free,0,Everyone,House & Home,2018-08-03,2.0.0,5.0 and up,100000.0,0.0,7.5,House & Home
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27386,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,2018-06-21,Varies with device,Varies with device,1000000.0,0.0,,House & Home
Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243,12M,"10,000,000+",Free,0,Everyone,House & Home,2018-07-26,8.18,4.0.3 and up,10000000.0,0.0,12.0,House & Home
Real Estate sale & rent Trovit,HOUSE_AND_HOME,4.1,65913,7.7M,"5,000,000+",Free,0,Everyone,House & Home,2018-07-16,4.47.3,4.0.3 and up,5000000.0,0.0,7.7,House & Home
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",HOUSE_AND_HOME,4.1,24977,21M,"1,000,000+",Free,0,Everyone,House & Home,2018-08-01,3.5.9,4.0.3 and up,1000000.0,0.0,21.0,House & Home
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-28,9.6.8,4.1 and up,1000000.0,0.0,18.0,House & Home
"CYANOGEN. Rent, buy an apartment, a room, a cottage 3+",HOUSE_AND_HOME,4.3,37711,40M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-31,2.51.0,4.4 and up,1000000.0,0.0,40.0,House & Home
Trulia Real Estate & Rentals,HOUSE_AND_HOME,4.5,175293,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,2018-07-24,Varies with device,Varies with device,10000000.0,0.0,,House & Home
Latest 2018 Home Designs,HOUSE_AND_HOME,,174,8.7M,"10,000+",Free,0,Everyone,House & Home,2018-07-26,1.1,2.3 and up,10000.0,0.0,8.7,House & Home
Houzz Interior Design Ideas,HOUSE_AND_HOME,4.6,353799,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,2018-08-01,Varies with device,Varies with device,10000000.0,0.0,,House & Home
Good room network fast rent,HOUSE_AND_HOME,3.7,2758,8.6M,"500,000+",Free,0,Everyone,House & Home,2018-06-25,4.2.3,4.0 and up,500000.0,0.0,8.6,House & Home
Yongqing fast search,HOUSE_AND_HOME,3.7,1437,Varies with device,"100,000+",Free,0,Everyone,House & Home,2018-08-02,Varies with device,Varies with device,100000.0,0.0,,House & Home
LIFULL HOME'S,HOUSE_AND_HOME,4.2,7573,18M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-25,8.2.1,4.2 and up,1000000.0,0.0,18.0,House & Home
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0,Everyone,House & Home,2018-08-03,2.1.0,5.0 and up,1000000.0,0.0,7.5,House & Home
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-12,6.7.12.2018,4.0.3 and up,1000000.0,0.0,9.1,House & Home
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13M,"1,000,000+",Free,0,Everyone,House & Home,2018-06-29,3.6,4.0.3 and up,1000000.0,0.0,13.0,House & Home
Living Smart Home,HOUSE_AND_HOME,4.6,39189,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,2018-07-30,Varies with device,Varies with device,1000000.0,0.0,,House & Home
591 Housing Trading - Hong Kong,HOUSE_AND_HOME,4.3,3522,15M,"100,000+",Free,0,Everyone,House & Home,2018-08-02,3.10.8,4.0 and up,100000.0,0.0,15.0,House & Home
Trulia Rent Apartments & Homes,HOUSE_AND_HOME,4.4,71419,Varies with device,"5,000,000+",Free,0,Everyone,House & Home,2018-07-24,Varies with device,Varies with device,5000000.0,0.0,,House & Home
Redfin Real Estate,HOUSE_AND_HOME,4.6,36857,19M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-25,220.0,5.0 and up,1000000.0,0.0,19.0,House & Home
"Domofond Real Estate. Buy, rent an apartment.",HOUSE_AND_HOME,4.5,39123,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,2018-08-03,Varies with device,Varies with device,1000000.0,0.0,,House & Home
"realestate.com.au - Buy, Rent & Sell Property",HOUSE_AND_HOME,3.8,14653,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,2018-07-16,Varies with device,Varies with device,1000000.0,0.0,,House & Home
Yes319 real price login query,HOUSE_AND_HOME,,12,5.1M,"5,000+",Free,0,Everyone,House & Home,2018-07-12,1.04,4.0.3 and up,5000.0,0.0,5.1,House & Home
DaBang - Rental Homes in Korea,HOUSE_AND_HOME,4.4,23013,26M,"5,000,000+",Free,0,Everyone,House & Home,2018-07-17,3.2.4,4.1 and up,5000000.0,0.0,26.0,House & Home
DIY On A Budget,HOUSE_AND_HOME,4.7,114,8.3M,"10,000+",Free,0,Teen,House & Home,2018-02-18,2.1,4.1 and up,10000.0,0.0,8.3,House & Home
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27M,"100,000+",Free,0,Everyone,House & Home,2018-05-29,2.4.2,4.4 and up,100000.0,0.0,27.0,House & Home
Mortgage by Zillow: Calculator & Rates,HOUSE_AND_HOME,4.3,4435,7.9M,"500,000+",Free,0,Everyone,House & Home,2016-03-02,2.6.0.287,4.0 and up,500000.0,0.0,7.9,House & Home
Home Security Camera WardenCam - reuse old phones,HOUSE_AND_HOME,4.3,43800,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,2018-07-06,Varies with device,Varies with device,1000000.0,0.0,,House & Home
Room planner: Interior & Floorplan Design for IKEA,HOUSE_AND_HOME,4.0,4281,27M,"100,000+",Free,0,Everyone,House & Home,2018-08-05,858,4.0.3 and up,100000.0,0.0,27.0,House & Home
Rent.com Apartment Homes,HOUSE_AND_HOME,4.0,7508,5.1M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-09,7.9.0,5.0 and up,1000000.0,0.0,5.1,House & Home
Good house to buy a house,HOUSE_AND_HOME,3.8,491,15M,"100,000+",Free,0,Everyone,House & Home,2018-07-25,2.6.0,4.0.3 and up,100000.0,0.0,15.0,House & Home
LH Housing Promotion Notice,HOUSE_AND_HOME,,160,3.1M,"100,000+",Free,0,Everyone,House & Home,2017-09-19,1.2.0,4.0 and up,100000.0,0.0,3.1,House & Home
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0,Everyone,House & Home,2018-07-16,4.7.13,4.4 and up,1000000.0,0.0,16.0,House & Home
Hemnet,HOUSE_AND_HOME,3.6,4087,9.2M,"500,000+",Free,0,Everyone,House & Home,2018-07-16,4.3.0,4.1 and up,500000.0,0.0,9.2,House & Home
At home - rental · real estate · room finding application such as apartment · apartment,HOUSE_AND_HOME,3.8,2496,Varies with device,"500,000+",Free,0,Everyone,House & Home,2018-07-05,Varies with device,Varies with device,500000.0,0.0,,House & Home
Alfred Home Security Camera,HOUSE_AND_HOME,4.5,103305,Varies with device,"5,000,000+",Free,0,Everyone,House & Home,2018-07-31,Varies with device,Varies with device,5000000.0,0.0,,House & Home
House app: beautiful everyday ~,HOUSE_AND_HOME,4.6,2669,10M,"500,000+",Free,0,Teen,House & Home,2018-08-03,2.0.6.9,4.1 and up,500000.0,0.0,10.0,House & Home
Home tips and advice,HOUSE_AND_HOME,,10,2.6M,"5,000+",Free,0,Everyone,House & Home,2017-12-28,2.0,4.0.3 and up,5000.0,0.0,2.6,House & Home
"N1.RU - Real estate: apartments, new buildings, lodging",HOUSE_AND_HOME,4.5,7619,13M,"100,000+",Free,0,Everyone,House & Home,2018-07-12,1.22.0,4.0.3 and up,100000.0,0.0,13.0,House & Home
Ruler,HOUSE_AND_HOME,4.7,126,1.9M,"10,000+",Free,0,Everyone,House & Home,2017-08-21,1.0,4.0 and up,10000.0,0.0,1.9,House & Home
